Symbol,Exchange,Industry (Sector),Subgroup (Theme),Sub-industry,Source Symbol,Match Type,ISIN,Company Name,Primary Company Name
533452.BO,XBOM,BANKING & FINANCIAL SERVICES,PSU Infra Finance,Other Financial Services Companies,DELPHIFX,primary_local,INE726L01027,Delphi World,DELPHI WORLD MONEY LIMITED
533470.BO,XBOM,Const. & Materials,Wood & Plywood,Plywood Boards/ Laminates Companies,RUSHIL,primary_local,INE573K01025,Rushil Decor,Rushil Decor Limited
533482.BO,XBOM,METALS & MINING,Iron & Steel Core,Iron & Steel Companies,KRIDHANINF,primary_local,INE524L01026,Kridhan Infra Limited,Kridhan Infra Limited
533499.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Services (Consulting),Computers - Software & Consulting Companies,BGLOBAL,bse_security_id,INE224M01013,Bharatiya Global Infomedia Limited,Bharatiya Global Infomedia Limited
533506.BO,XBOM,BANKING & FINANCIAL SERVICES,Capital Market Intern.,Stockbroking & Allied Companies,INVENTURE,primary_local,INE878H01024,Inventure Growth & Securities Limited,Inventure Growth & Securities Limited
533519.BO,XBOM,BANKING & FINANCIAL SERVICES,NBFC,Non Banking Financial Company (NBFC) Companies,LTF,primary_local,INE498L01015,L&T Finance Ltd,L&T Finance Limited
533520.BO,XBOM,PROFESSIONAL SERVICES,BPO & Specialized Services,Diversified Commercial Services Companies,IBULLSLTD,primary_local,INE126M01010,Indiabulls,Indiabulls Limited
533540.BO,XBOM,PROFESSIONAL SERVICES,Education & EdTech,Education Companies,TREEHOUSE,bse_security_id,INE040M01013,Tree House Edu.,Tree House Education & Accessories Limited
533543.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,BROOKS,bse_security_id,INE650L01011,Brooks Laboratories Limited,BROOKS LABORATORIES LIMITED
533552.BO,XBOM,Lifestyle & Retail,Innerwear Manufacturers,Garments & Apparels Companies,RUPA,primary_local,INE895B01021,Rupa & Co,Rupa & Company Limited
533553.BO,XBOM,ENGINEERING & MANUFACTURING,Heavy Electrical Equip,Heavy Electrical Equipment Companies,TDPOWERSYS,primary_local,INE419M01027,TD Power Systems,TD Power Systems Limited
533573.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,APLLTD,primary_local,INE901L01018,Alembic Pharmaceuticals Limited,Alembic Pharmaceuticals Limited
533576.BO,XBOM,METALS & MINING,Sponge & Ferro Alloys,Sponge Iron Companies,VASWANI,primary_local,INE590L01019,Vaswani Industri,Vaswani Industries Limited
533581.BO,XBOM,Consumer Durables,Consumer Electronics,Consumer Electronics Companies,PGEL,primary_local,INE457L01029,PG Electroplast,PG Electroplast Limited
533605.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,SETUINFRA,bse_security_id,INE023M01027,Setubandhan Infrastructure Limited,SETUBANDHAN INFRASTRUCTURE LIMITED
533629.BO,XBOM,Const. & Materials,Tiles,Other Construction Materials Companies,TIJARIA,bse_security_id,INE440L01017,Tijaria Polypipes Limited,TIJARIA POLYPIPES LIMITED
533632.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Investment Company Companies,ONELIFECAP,primary_local,INE912L01015,Onelife Capital Advisors Limited,Onelife Capital Advisors Limited
533638.BO,XBOM,FMCG CLUSTERS,Packaging and Containers,Packaging Companies,FLEXITUFF,primary_local,INE060J01017,Flexituff Ventures International Limited,Flexituff Ventures International Limited
533644.BO,XBOM,"ENERGY, OIL & GAS",Power Generation,Power Generation Companies,UEL,primary_local,INE899L01030,Ujaas Energy,Ujaas Energy Limited
533655.BO,XBOM,POWER INFRA & ELECTRICALS,Transformers & Switchgears,Heavy Electrical Equipment Companies,TRITURBINE,primary_local,INE152M01016,Triveni Turbine,Triveni Turbine Limited
533676.BO,XBOM,BANKING & FINANCIAL SERVICES,Capital Market Intern.,Stockbroking & Allied Companies,INDOTHAI,primary_local,INE337M01021,Indo Thai Sec.,Indo Thai Securities Limited
533704.BO,XBOM,Logistics & Trans,Shipping,Shipping Companies,ESSARSHPNG,primary_local,INE122M01019,Essar Shipping,Essar Shipping Limited
533758.BO,XBOM,Const. & Materials,Metal Pipes,Iron & Steel Products Companies,APLAPOLLO,primary_local,INE702C01027,APL Apollo Tubes,APL Apollo Tubes Limited
533761.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,GPTINFRA,primary_local,INE390G01014,GPT Infraprojects Limited,GPT Infraprojects Limited
533941.BO,XBOM,Lifestyle & Retail,Premium & Branded Apparel,Garments & Apparels Companies,THOMASCOTT,primary_local,INE480M01011,Thomas Scott,Thomas Scott (India) Limited
533982.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Services (Consulting),Computers - Software & Consulting Companies,TERASOFT,primary_local,INE482B01010,Tera Software Limited,Tera Software Limited
534076.BO,XBOM,ENGINEERING & MANUFACTURING,Refractories,Electrodes & Refractories Companies,RHIM,primary_local,INE743M01012,RHI Magnesita,RHI MAGNESITA INDIA LIMITED
534091.BO,XBOM,BANKING & FINANCIAL SERVICES,Exchanges & Platforms,Exchange and Data Platform Companies,MCX,primary_local,INE745G01043,Multi Comm. Exc.,Multi Commodity Exchange of India Limited
534139.BO,XBOM,POWER INFRA & ELECTRICALS,Transformers & Switchgears,Heavy Electrical Equipment Companies,SCHNEIDER,bse_security_id,INE839M01018,Schneider Elect.,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED
534190.BO,XBOM,TRAVEL & HOSPITALITY,Leisure & Amusement,Leisure Products Companies,534190,primary_local,INE550L01013,Olympic Cards,Olympic Cards Limited
534309.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Civic & Urban Infra,Civil Construction Companies,NBCC,primary_local,INE095N01031,NBCC,NBCC (India) Limited
